mood,sleep_hours,focus_level,task_type,music_type,productivity_score
stressed,4.8,4,study,lofi,13
anxious,3.8,9,study,silence,50
happy,8.5,3,study,lyrical,35
stressed,9.0,5,creative,lyrical,35
anxious,5.6,8,coding,lofi,55
calm,4.6,4,routine,lyrical,35
sad,4.7,3,routine,instrumental,3
happy,8.9,6,routine,lyrical,65
calm,3.2,3,study,instrumental,15
calm,3.5,9,creative,silence,50
happy,8.3,9,routine,lyrical,95
sad,3.2,7,coding,instrumental,38
stressed,4.0,6,routine,lofi,33
happy,7.7,6,routine,lyrical,65
calm,5.0,6,routine,lofi,65
sad,4.8,3,creative,instrumental,3
happy,8.1,8,coding,lofi,88
calm,5.1,2,creative,silence,22
anxious,6.1,2,study,lofi,13
happy,6.0,5,coding,lofi,58
happy,4.4,5,creative,instrumental,48
stressed,4.4,1,study,lofi,0
stressed,3.8,2,study,silence,0
happy,7.0,5,creative,lyrical,63
stressed,7.7,5,routine,lyrical,35
calm,3.6,3,study,lyrical,15
calm,6.0,6,creative,lyrical,70
anxious,6.5,7,routine,silence,66
sad,7.4,1,creative,silence,0
happy,5.8,3,study,lofi,30
anxious,7.3,2,routine,lofi,13
anxious,8.1,2,study,lofi,13
anxious,6.4,5,study,lofi,43
stressed,7.6,2,study,instrumental,5
stressed,4.9,6,creative,silence,36
calm,3.7,10,creative,lyrical,50
sad,7.4,3,creative,lofi,21
calm,4.5,4,study,instrumental,35
sad,4.2,10,coding,lofi,65
happy,7.9,7,study,lofi,78
stressed,6.6,6,routine,lofi,48
calm,3.0,8,coding,lyrical,50
anxious,8.3,9,routine,lyrical,80
stressed,4.9,9,study,instrumental,60
sad,5.0,5,study,lyrical,30
happy,7.8,2,coding,silence,25
stressed,3.0,6,coding,silence,16
stressed,5.0,2,study,silence,3
sad,6.7,5,coding,lofi,41
anxious,5.4,3,coding,lyrical,0
happy,4.6,5,routine,silence,40
anxious,7.7,3,creative,instrumental,20
stressed,3.3,4,coding,instrumental,0
stressed,6.9,8,routine,silence,71
stressed,9.0,5,creative,lofi,38
sad,6.7,3,creative,silence,18
sad,3.5,9,routine,instrumental,50
anxious,5.9,4,study,lofi,25
happy,3.9,2,coding,silence,0
sad,8.0,4,study,instrumental,28
calm,8.4,4,routine,instrumental,50
happy,8.3,2,coding,instrumental,30
stressed,7.9,6,study,lyrical,45
calm,6.8,5,coding,lofi,71
calm,4.0,6,creative,lofi,58
anxious,4.2,5,routine,silence,31
anxious,6.9,3,study,lyrical,20
stressed,4.5,6,coding,lofi,23
anxious,4.9,2,study,lyrical,0
anxious,5.0,2,routine,silence,8
sad,3.8,1,creative,lofi,0
anxious,6.8,7,creative,instrumental,60
happy,5.4,6,creative,instrumental,65
anxious,4.0,1,routine,lofi,0
happy,7.8,1,study,silence,15
happy,4.9,6,routine,instrumental,50
happy,7.9,3,study,instrumental,35
sad,7.2,6,study,instrumental,48
anxious,5.9,5,routine,lyrical,32
anxious,5.7,5,routine,instrumental,32
sad,6.3,6,study,instrumental,48
stressed,8.8,4,creative,lofi,28
calm,6.5,5,routine,lofi,63
stressed,5.6,8,study,lofi,60
sad,4.6,5,routine,lyrical,23
anxious,7.0,4,routine,lyrical,30
stressed,8.8,1,coding,lofi,0
sad,8.8,2,creative,instrumental,8
calm,4.7,5,study,silence,45
sad,9.0,6,routine,silence,48
sad,7.9,3,creative,lyrical,18
stressed,3.9,8,creative,lofi,43
sad,6.9,9,creative,instrumental,78
stressed,5.2,8,study,lyrical,57
sad,6.2,7,creative,instrumental,58
happy,3.2,2,routine,lyrical,0
happy,8.1,9,study,silence,95
calm,8.0,9,coding,lofi,100
calm,8.2,2,creative,instrumental,30
anxious,5.2,9,coding,instrumental,67
anxious,3.4,4,coding,instrumental,0
stressed,6.8,6,creative,silence,51
happy,8.2,4,study,silence,45
happy,5.9,7,creative,lyrical,75
sad,4.0,4,coding,lyrical,5
stressed,6.7,2,routine,lyrical,5
calm,4.6,1,coding,silence,13
anxious,4.5,9,creative,lyrical,65
stressed,8.8,3,coding,lyrical,0
stressed,5.3,1,creative,lofi,0
calm,4.9,5,coding,lyrical,45
calm,7.4,8,creative,lofi,93
sad,7.9,2,routine,instrumental,8
sad,6.4,3,creative,instrumental,18
stressed,7.2,3,coding,instrumental,10
stressed,5.8,2,routine,lyrical,0
stressed,3.8,9,coding,instrumental,45
anxious,3.0,6,creative,lofi,28
sad,6.9,7,creative,lyrical,58
calm,8.4,9,study,instrumental,100
happy,5.1,3,creative,instrumental,35
calm,8.9,7,coding,lofi,91
calm,7.1,2,routine,instrumental,30
calm,4.6,10,coding,instrumental,65
stressed,5.8,4,coding,instrumental,12
calm,3.2,7,study,instrumental,50
happy,3.9,6,routine,lyrical,40
sad,3.1,1,coding,lyrical,0
calm,4.7,10,study,lyrical,65
calm,6.7,2,routine,silence,30
sad,7.4,8,coding,lofi,71
happy,3.7,4,routine,instrumental,20
stressed,5.5,4,study,instrumental,17
happy,7.8,10,routine,lyrical,100
anxious,3.3,1,study,silence,0
calm,3.3,7,study,silence,50
calm,5.3,3,routine,instrumental,32
calm,7.2,5,study,lyrical,60
happy,4.3,9,study,instrumental,65
happy,3.6,9,coding,instrumental,50
happy,6.8,4,coding,lyrical,37
anxious,7.7,10,routine,lofi,93
calm,4.4,7,study,silence,65
calm,7.2,10,routine,lyrical,100
sad,6.3,8,routine,silence,68
anxious,8.6,5,study,instrumental,40
happy,5.8,1,routine,lyrical,7
anxious,3.4,8,study,lofi,48
calm,7.3,6,coding,lofi,81
stressed,3.4,6,creative,lofi,23
sad,7.6,9,study,silence,78
happy,4.0,7,coding,lofi,63
calm,3.6,3,routine,lofi,18
happy,6.7,10,creative,lyrical,100
calm,7.4,1,routine,instrumental,20
happy,3.8,9,routine,silence,50
happy,3.2,6,coding,lofi,43
stressed,4.7,4,creative,lyrical,10
calm,6.3,4,routine,instrumental,50
stressed,6.9,5,creative,lofi,38
happy,4.2,5,study,instrumental,40
calm,8.6,8,routine,lyrical,90
sad,5.7,7,routine,lyrical,50
sad,3.3,8,creative,lyrical,43
sad,8.0,3,study,instrumental,18
anxious,7.1,3,coding,instrumental,15
sad,7.6,2,creative,lyrical,8
sad,4.7,5,study,lofi,26
anxious,8.7,9,coding,instrumental,75
calm,9.0,1,routine,silence,20
stressed,4.5,5,coding,lofi,13
calm,7.9,1,creative,instrumental,20
sad,3.6,3,coding,lyrical,0
happy,3.1,5,study,lyrical,30
stressed,6.7,2,routine,silence,11
stressed,4.1,3,routine,lofi,3
calm,4.1,5,study,lofi,48
happy,4.1,3,creative,lofi,31
sad,5.1,9,study,instrumental,70
sad,6.0,8,study,instrumental,68
sad,5.5,4,routine,lofi,23
sad,8.9,4,creative,instrumental,28
stressed,4.7,2,routine,silence,0
stressed,5.3,10,study,silence,83
sad,6.6,5,routine,lofi,41
calm,3.6,6,study,lyrical,45
sad,3.4,8,coding,lofi,46
anxious,7.6,9,creative,lofi,83
calm,6.1,1,study,silence,20
anxious,3.4,5,coding,instrumental,10
sad,5.9,4,coding,lofi,23
sad,4.0,4,coding,instrumental,18
sad,4.9,9,coding,lofi,65
stressed,4.2,4,study,lyrical,10
calm,7.3,7,coding,silence,88
stressed,5.9,10,routine,silence,83
sad,5.0,9,coding,silence,70
anxious,3.6,10,coding,instrumental,50
stressed,3.9,6,creative,lofi,23
happy,8.4,10,study,silence,100
happy,7.7,5,routine,lofi,58
anxious,4.5,9,study,lofi,65
sad,6.7,5,creative,instrumental,38
stressed,3.5,1,coding,instrumental,0
sad,5.6,7,routine,instrumental,50
sad,8.4,3,study,lyrical,18
happy,5.8,5,creative,lyrical,55
calm,7.4,5,creative,silence,60
calm,6.8,5,creative,lyrical,60
calm,5.4,8,creative,silence,82
sad,6.6,8,routine,lofi,71
sad,8.0,3,routine,silence,18
happy,7.1,4,coding,instrumental,50
happy,6.4,4,creative,instrumental,53
calm,8.6,8,routine,lofi,93
anxious,6.6,6,creative,silence,56
calm,6.4,2,routine,silence,30
stressed,3.5,10,routine,silence,50
happy,6.8,1,routine,silence,15
happy,5.5,1,routine,lyrical,7
anxious,8.5,2,coding,silence,6
happy,4.3,9,study,silence,65
happy,7.1,1,creative,lofi,26
stressed,8.8,7,study,lofi,58
sad,7.6,6,coding,lofi,51
anxious,5.1,7,study,silence,58
happy,7.1,7,study,instrumental,75
happy,4.0,4,coding,instrumental,35
anxious,3.4,8,routine,silence,50
sad,3.9,6,study,lofi,26
anxious,8.3,4,study,instrumental,30
anxious,4.2,4,creative,instrumental,15
happy,3.2,10,routine,silence,50
calm,8.4,2,coding,instrumental,43
anxious,7.4,8,routine,lofi,73
happy,8.5,1,routine,silence,15
anxious,6.1,3,study,lofi,23
anxious,5.7,5,coding,silence,28
anxious,6.6,7,study,lyrical,60
sad,8.5,7,study,silence,58
anxious,5.8,5,coding,lofi,25
happy,8.7,2,routine,instrumental,25
